Country Name,Power Index,Available Manpower,Purchasing Power Parity,Defense Budget,Active Personnel,Reserve Personnel,Air Force Personnel,Army Personnel,Navy Personnel,Aircraft Total,Attack,Fighters,Transport,Helicopters,Special-Mission,Trainers,Attack Helicopters,Tanker,Naval Assets,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Tanks,Self-Propelled Artillery,Towed Artillery,Rocket Artillery,External Debt
Taiwan,0.3927,"12,269,542","$1,743,000,000,000 USD","$31,180,000,000 USD","230,000","1,657,000","125,000","94,000","107,000",720,0 (0.0%),258 (35.8%),19 (2.6%),239 (33.2%),18 (2.5%),215 (29.9%),91 (12.6%),0 (0.0%),91,0,0,4,21,7,4,36,10,"1,090",488,"1,360",223,"$229,900,000,000 USD"
Tajikistan,2.1749,"4,781,269","$50,370,000,000 USD","$450,460,000 USD","150,000","600,000","1,200","9,000",0,25,0 (0.0%),0 (0.0%),1 (4.0%),20 (80.0%),0 (0.0%),4 (16.0%),6 (24.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,3,13,24,"$3,024,000,000 USD"
Tanzania,1.9111,"12,143,182","$246,706,000,000 USD","$1,476,113,361 USD","25,000",0,"1,825","21,975","1,200",38,0 (0.0%),11 (28.9%),6 (15.8%),15 (39.5%),0 (0.0%),6 (15.8%),0 (0.0%),0 (0.0%),12,0,0,0,0,0,0,10,0,200,0,205,70,"$17,513,000,000 USD"
Thailand,0.4458,"36,358,919","$1,558,000,000,000 USD","$6,006,660,000 USD","360,850","200,000","46,000","245,000","69,850",496,26 (5.2%),73 (14.7%),52 (10.5%),258 (52.0%),25 (5.0%),134 (27.0%),7 (1.4%),0 (0.0%),304,0,1,0,7,5,0,254,5,744,59,595,17,"$37,065,000,000 USD"
Tunisia,1.7823,"6,024,424","$156,086,000,000 USD","$2,172,751,250 USD","89,800",0,"4,500","150,000","5,000",155,0 (0.0%),10 (6.5%),12 (7.7%),101 (65.2%),4 (2.6%),28 (18.1%),0 (0.0%),0 (0.0%),37,0,0,0,1,1,0,30,0,145,0,105,0,"$21,212,000,000 USD"
Turkiye,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Turkmenistan,1.7459,"2,768,681","$134,555,000,000 USD","$1,463,000,000 USD","36,500",0,"3,000","42,760","2,000",91,27 (29.7%),22 (24.2%),5 (5.5%),26 (28.6%),0 (0.0%),11 (12.1%),10 (11.0%),0 (0.0%),16,0,0,0,0,0,0,16,0,654,73,457,164,"$3,696,000,000 USD"
Uganda,2.3252,"16,756,234","$144,137,000,000 USD","$1,510,000,000 USD","45,000",0,"1,200","43,800",0,51,0 (0.0%),6 (11.8%),3 (5.9%),30 (58.8%),0 (0.0%),12 (23.5%),6 (11.8%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,259,6,26,12,"$10,469,000,000 USD"
Ukraine,0.3691,"18,187,531","$577,583,000,000 USD","$45,000,000,000 USD","900,000","4,000,000","35,000","250,000","11,000",347,30 (8.6%),88 (25.4%),22 (6.3%),140 (40.3%),5 (1.4%),72 (20.7%),39 (11.2%),0 (0.0%),169,0,0,0,0,0,0,133,5,"1,121",682,625,288,"$90,003,000,000 USD"
United-arab-emirates,1.0188,"5,818,684","$745,994,000,000 USD","$23,480,000,000 USD","65,000","130,000","7,000","44,000","3,000",581,40 (6.9%),99 (17.0%),35 (6.0%),250 (43.0%),27 (4.6%),151 (26.0%),30 (5.2%),5 (0.9%),84,0,0,0,0,11,0,34,2,354,165,99,49,"$290,400,000,000 USD"
United-kingdom,0.1881,"31,491,165","$3,636,000,000,000 USD","$88,526,529,585 USD","141,330","31,940","34,800","108,413","37,890",625,38 (6.1%),103 (16.5%),30 (4.8%),262 (41.9%),29 (4.6%),201 (32.2%),50 (8.0%),9 (1.4%),116,2,0,6,7,0,10,26,8,288,14,126,43,"$10,553,123,900,000 USD"
United-states-of-america,0.0741,"150,463,900","$25,676,000,000,000 USD","$831,500,000,000 USD","1,333,030","799,500","708,758","1,174,890","612,124","13,032",926 (7.1%),"1,791 (13.7%)",917 (7.0%),"5,913 (45.4%)",611 (4.7%),"2,610 (20.0%)","1,024 (7.9%)",610 (4.7%),465,11,9,83,0,27,66,0,4,"4,666","1,521","1,878","1,731","$24,538,900,710,000 USD"
Uruguay,2.1537,"1,575,652","$108,502,000,000 USD","$1,903,440,000 USD","24,000",0,"2,850","15,450","5,700",43,6 (14.0%),0 (0.0%),6 (14.0%),12 (27.9%),5 (11.6%),12 (27.9%),0 (0.0%),2 (4.7%),16,0,0,0,0,0,0,5,2,62,16,83,4,"$54,450,000,000 USD"
Uzbekistan,0.9908,"18,990,708","$379,989,000,000 USD","$6,210,000,000 USD","120,000",0,"15,000","95,000",550,159,13 (8.2%),26 (16.4%),12 (7.5%),101 (63.5%),0 (0.0%),7 (4.4%),34 (21.4%),0 (0.0%),0,0,0,0,0,0,0,0,0,470,177,236,108,"$25,714,000,000 USD"
Venezuela,0.9106,"15,625,153","$110,943,000,000 USD","$6,060,000,000 USD","109,000","8,000","10,755","300,745","25,500",224,0 (0.0%),30 (13.4%),47 (21.0%),85 (37.9%),3 (1.3%),75 (33.5%),10 (4.5%),1 (0.4%),41,0,0,0,1,0,3,26,0,282,60,92,56,"$121,363,000,000 USD"
Vietnam,0.4066,"54,994,667","$1,456,000,000,000 USD","$10,200,000,000 USD","450,000","5,000,000","35,000","5,450,000","50,000",265,0 (0.0%),61 (23.0%),6 (2.3%),101 (38.1%),3 (1.1%),91 (34.3%),0 (0.0%),0 (0.0%),116,0,0,0,9,17,6,27,8,"1,999",30,"3,250",774,"$34,426,000,000 USD"
Yemen,2.1617,"12,213,368","$18,719,000,000 USD","$405,187,500 USD","33,350",0,"3,850","56,350","3,250",160,0 (0.0%),68 (42.5%),3 (1.9%),59 (36.9%),0 (0.0%),30 (18.8%),14 (8.8%),0 (0.0%),26,0,0,0,0,1,0,9,0,0,12,60,30,"$6,492,000,000 USD"
Zambia,2.4461,"7,279,691","$79,207,000,000 USD","$385,321,000 USD","15,150",0,"3,745","13,250",0,78,0 (0.0%),0 (0.0%),13 (16.7%),33 (42.3%),0 (0.0%),34 (43.6%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,12,60,50,"$16,597,000,000 USD"
Zimbabwe,2.2801,"6,517,134","$57,391,000,000 USD","$1,976,800,000 USD","29,000",0,"5,000","25,000",0,80,9 (11.3%),9 (11.3%),14 (17.5%),28 (35.0%),0 (0.0%),20 (25.0%),6 (7.5%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,0,0,0,"$6,671,000,000 USD"
